frame_indexes,detected_coordinates,frog_id_kmm,frog_id_gmm,frog_id_dbscan
471,"(81.0, 401.0)",0,3,0
472,"(1016.0, 400.0)",4,1,3
473,"(1037.0, 401.0)",4,1,3
474,"(1037.0, 401.0)",4,1,3
475,"(500.0, 364.0)",1,4,0
476,"(500.0, 362.0)",1,4,0
477,"(497.0, 360.0)",1,4,0
478,"(234.0, 380.0)",0,0,0
479,"(253.0, 380.0)",0,0,0
480,"(254.0, 380.0)",0,0,0
481,"(274.0, 360.0)",0,0,0
482,"(478.0, 361.0)",1,4,0
482,"(85.0, 421.0)",0,3,0
483,"(481.0, 361.0)",1,4,0
484,"(480.0, 361.0)",1,4,0
485,"(479.0, 361.0)",1,4,0
486,"(480.0, 360.0)",1,4,0
487,"(1078.0, 402.0)",4,1,3
488,"(1078.0, 402.0)",4,1,3
489,"(1078.0, 401.0)",4,1,3
490,"(1078.0, 401.0)",4,1,3
491,"(1077.0, 401.0)",4,1,3
492,"(1058.0, 402.0)",4,1,3
493,"(729.0, 504.0)",2,6,1
494,"(731.0, 505.0)",2,6,1
495,"(748.0, 523.0)",2,6,1
496,"(502.0, 361.0)",1,4,0
497,"(521.0, 361.0)",1,4,0
498,"(521.0, 360.0)",1,4,0
499,"(521.0, 360.0)",1,4,0
500,"(502.0, 360.0)",1,4,0
501,"(481.0, 360.0)",1,4,0
501,"(995.0, 381.0)",4,1,3
502,"(479.0, 360.0)",1,4,0
503,"(461.0, 360.0)",1,4,0
504,"(460.0, 360.0)",1,4,0
505,"(438.0, 361.0)",1,4,0
506,"(1119.0, 402.0)",4,1,3
507,"(1119.0, 403.0)",4,1,3
508,"(1110.0, 402.0)",4,1,3
509,"(1096.0, 402.0)",4,1,3
510,"(1079.0, 402.0)",4,1,3
511,"(1078.0, 402.0)",4,1,3
512,"(728.0, 504.0)",2,6,1
513,"(729.0, 505.0)",2,6,1
514,"(729.0, 519.0)",2,6,1
515,"(729.0, 505.0)",2,6,1
516,"(728.0, 505.0)",2,6,1
517,"(95.0, 420.0)",0,3,0
518,"(69.0, 402.0)",0,3,0
519,"(539.0, 361.0)",1,4,0
520,"(521.0, 361.0)",1,4,0
521,"(501.0, 360.0)",1,4,0
522,"(481.0, 361.0)",1,4,0
523,"(461.0, 360.0)",1,4,0
524,"(460.0, 360.0)",1,4,0
525,"(460.0, 360.0)",1,4,0
526,"(459.0, 360.0)",1,4,0
527,"(1097.0, 402.0)",4,1,3
