frame_indexes,detected_coordinates,frog_id_kmm,frog_id_gmm,frog_id_dbscan
360,"(171.0, 401.0)",0,0,0
361,"(130.0, 422.0)",0,4,0
362,"(111.0, 422.0)",0,4,0
363,"(1309.0, 503.0)",6,5,-1
364,"(479.0, 380.0)",1,3,1
365,"(461.0, 361.0)",1,3,1
366,"(460.0, 360.0)",1,3,1
367,"(460.0, 360.0)",1,3,1
368,"(459.0, 360.0)",1,3,1
369,"(439.0, 379.0)",1,3,1
370,"(129.0, 441.0)",0,4,0
371,"(148.0, 423.0)",0,0,0
372,"(1309.0, 503.0)",6,5,-1
373,"(131.0, 402.0)",0,4,0
374,"(113.0, 422.0)",0,4,0
375,"(1305.0, 504.0)",6,5,-1
376,"(130.0, 422.0)",0,4,0
377,"(151.0, 420.0)",0,0,0
378,"(192.0, 381.0)",0,0,0
379,"(191.0, 381.0)",0,0,0
380,"(501.0, 378.0)",1,3,1
381,"(460.0, 360.0)",1,3,1
382,"(460.0, 360.0)",1,3,1
383,"(461.0, 361.0)",1,3,1
384,"(457.0, 360.0)",1,3,1
385,"(974.0, 379.0)",4,1,2
386,"(974.0, 374.0)",4,1,2
387,"(977.0, 366.0)",4,1,2
388,"(995.0, 380.0)",4,1,2
389,"(109.0, 441.0)",0,4,0
390,"(130.0, 422.0)",0,4,0
391,"(130.0, 422.0)",0,4,0
392,"(131.0, 422.0)",0,4,0
393,"(152.0, 420.0)",0,0,0
394,"(151.0, 421.0)",0,0,0
395,"(111.0, 422.0)",0,4,0
396,"(501.0, 360.0)",1,3,1
397,"(481.0, 360.0)",1,3,1
398,"(461.0, 361.0)",1,3,1
399,"(459.0, 379.0)",1,3,1
400,"(451.0, 362.0)",1,3,1
401,"(441.0, 361.0)",1,3,1
402,"(460.0, 360.0)",1,3,1
403,"(746.0, 340.0)",3,1,3
404,"(479.0, 360.0)",1,3,1
404,"(976.0, 380.0)",4,1,2
405,"(995.0, 380.0)",4,1,2
406,"(995.0, 380.0)",4,1,2
407,"(996.0, 378.0)",4,1,2
408,"(501.0, 360.0)",1,3,1
409,"(501.0, 360.0)",1,3,1
410,"(503.0, 360.0)",1,3,1
411,"(232.0, 422.0)",0,0,0
412,"(232.0, 401.0)",0,0,0
413,"(151.0, 422.0)",0,0,0
414,"(89.0, 437.0)",0,4,0
415,"(120.0, 423.0)",0,4,0
416,"(480.0, 380.0)",1,3,1
